jurisdiction,metric,delta,flag_type,correction_status
Kentucky,offender_profiles,-525,Monotonicity Violation,Unreviewed
Kentucky,forensic_profiles,-35,Monotonicity Violation,Unreviewed
Kentucky,total_profiles,-560,Monotonicity Violation,Unreviewed
Kentucky,offender_profiles,-5,Monotonicity Violation,Unreviewed
Kentucky,offender_profiles,-1,Monotonicity Violation,Unreviewed
Kentucky,offender_profiles,-77,Monotonicity Violation,Unreviewed
Kentucky,forensic_profiles,-96,Monotonicity Violation,Unreviewed
Kentucky,total_profiles,-173,Monotonicity Violation,Unreviewed
Kentucky,offender_profiles,-257,Monotonicity Violation,Unreviewed
Kentucky,forensic_profiles,-64,Monotonicity Violation,Unreviewed
Kentucky,total_profiles,-321,Monotonicity Violation,Unreviewed
Kentucky,offender_profiles,-620,Monotonicity Violation,Unreviewed
Kentucky,forensic_profiles,-133,Monotonicity Violation,Unreviewed
Kentucky,total_profiles,-753,Monotonicity Violation,Unreviewed
Kentucky,offender_profiles,-4764,Monotonicity Violation,Unreviewed
Kentucky,forensic_profiles,-436,Monotonicity Violation,Unreviewed
Kentucky,total_profiles,-5200,Monotonicity Violation,Unreviewed
Kentucky,forensic_profiles,-3241,Monotonicity Violation,Unreviewed
Kentucky,offender_profiles,-3087,Monotonicity Violation,Unreviewed
Kentucky,arrestee,-3242,Monotonicity Violation,Unreviewed
Kentucky,total_profiles,-2964,Monotonicity Violation,Unreviewed
Kentucky,offender_profiles,-1668,Monotonicity Violation,Unreviewed
Kentucky,total_profiles,-1582,Monotonicity Violation,Unreviewed
Kentucky,forensic_profiles,-3736,Monotonicity Violation,Unreviewed
Kentucky,unknown,NA,Laboratory Jump,Unreviewed
Kentucky,arrestee,-3934,Monotonicity Violation,Unreviewed
Kentucky,offender_profiles,-6,Monotonicity Violation,Unreviewed
Kentucky,forensic_profiles,-754,Monotonicity Violation,Unreviewed
Louisiana,offender_profiles,-1732,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-56,Monotonicity Violation,Unreviewed
Louisiana,total_profiles,-1788,Monotonicity Violation,Unreviewed
Louisiana,offender_profiles,-1597,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-14,Monotonicity Violation,Unreviewed
Louisiana,total_profiles,-1611,Monotonicity Violation,Unreviewed
Louisiana,offender_profiles,-272,Monotonicity Violation,Unreviewed
Louisiana,total_profiles,-199,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-43,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-72,Monotonicity Violation,Unreviewed
Louisiana,total_profiles,-71,Monotonicity Violation,Unreviewed
Louisiana,offender_profiles,-6700,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-41,Monotonicity Violation,Unreviewed
Louisiana,total_profiles,-6741,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-219,Monotonicity Violation,Unreviewed
Louisiana,offender_profiles,644,Spike Detection,Unreviewed
Louisiana,offender_profiles,-6474,Monotonicity Violation,Unreviewed
Louisiana,total_profiles,-6283,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-136,Monotonicity Violation,Unreviewed
Louisiana,offender_profiles,-19649,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-402,Monotonicity Violation,Unreviewed
Louisiana,total_profiles,-20051,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-5387,Monotonicity Violation,Unreviewed
Louisiana,arrestee,-5394,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-6571,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-1,Monotonicity Violation,Unreviewed
Louisiana,offender_profiles,259033,Spike Detection,Unreviewed
Louisiana,unknown,NA,Laboratory Jump,Unreviewed
Louisiana,offender_profiles,-255280,Monotonicity Violation,Unreviewed
Louisiana,forensic_profiles,-51,Monotonicity Violation,Unreviewed
Louisiana,offender_profiles,-2405,Monotonicity Violation,Unreviewed
Maine,arrestee,-270,Monotonicity Violation,Unreviewed
Maine,offender_profiles,-750,Monotonicity Violation,Unreviewed
Maine,total_profiles,-723,Monotonicity Violation,Unreviewed
Maine,offender_profiles,-971,Monotonicity Violation,Unreviewed
Maine,forensic_profiles,-24,Monotonicity Violation,Unreviewed
Maine,total_profiles,-995,Monotonicity Violation,Unreviewed
Maine,forensic_profiles,-15,Monotonicity Violation,Unreviewed
Maine,total_profiles,-15,Monotonicity Violation,Unreviewed
Maine,forensic_profiles,-3856,Monotonicity Violation,Unreviewed
Maine,total_profiles,-3854,Monotonicity Violation,Unreviewed
Maine,offender_profiles,-263,Monotonicity Violation,Unreviewed
Maine,forensic_profiles,-29,Monotonicity Violation,Unreviewed
Maine,total_profiles,-292,Monotonicity Violation,Unreviewed
Maine,offender_profiles,-118,Monotonicity Violation,Unreviewed
Maine,forensic_profiles,-66,Monotonicity Violation,Unreviewed
Maine,total_profiles,-184,Monotonicity Violation,Unreviewed
Maine,offender_profiles,-1387,Monotonicity Violation,Unreviewed
Maine,forensic_profiles,-78,Monotonicity Violation,Unreviewed
Maine,total_profiles,-1465,Monotonicity Violation,Unreviewed
Maine,offender_profiles,-3368,Monotonicity Violation,Unreviewed
Maine,forensic_profiles,-197,Monotonicity Violation,Unreviewed
Maine,total_profiles,-3565,Monotonicity Violation,Unreviewed
Maine,forensic_profiles,-1844,Monotonicity Violation,Unreviewed
Maine,offender_profiles,-1585,Monotonicity Violation,Unreviewed
Maine,arrestee,-1845,Monotonicity Violation,Unreviewed
Maine,total_profiles,-1533,Monotonicity Violation,Unreviewed
Maine,forensic_profiles,-2129,Monotonicity Violation,Unreviewed
Maine,unknown,NA,Laboratory Jump,Unreviewed
Maine,arrestee,-2221,Monotonicity Violation,Unreviewed
Maryland,arrestee,-298,Monotonicity Violation,Unreviewed
Maryland,offender_profiles,-44,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-141,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-118,Monotonicity Violation,Unreviewed
Maryland,total_profiles,-118,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-24,Monotonicity Violation,Unreviewed
Maryland,total_profiles,-24,Monotonicity Violation,Unreviewed
Maryland,offender_profiles,-2,Monotonicity Violation,Unreviewed
Maryland,total_profiles,10897,Spike Detection,Unreviewed
Maryland,offender_profiles,10820,Spike Detection,Unreviewed
Maryland,offender_profiles,-3299,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-40,Monotonicity Violation,Unreviewed
Maryland,total_profiles,-3339,Monotonicity Violation,Unreviewed
Maryland,offender_profiles,-4786,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-139,Monotonicity Violation,Unreviewed
Maryland,total_profiles,-4925,Monotonicity Violation,Unreviewed
Maryland,total_profiles,2254,Spike Detection,Unreviewed
Maryland,offender_profiles,2122,Spike Detection,Unreviewed
Maryland,offender_profiles,-9143,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-365,Monotonicity Violation,Unreviewed
Maryland,total_profiles,-9508,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-5,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-109,Monotonicity Violation,Unreviewed
Maryland,offender_profiles,-16533,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-701,Monotonicity Violation,Unreviewed
Maryland,total_profiles,-17234,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-38,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-5759,Monotonicity Violation,Unreviewed
Maryland,arrestee,-5765,Monotonicity Violation,Unreviewed
Maryland,forensic_profiles,-6698,Monotonicity Violation,Unreviewed
Maryland,total_profiles,19185,Spike Detection,Unreviewed
Maryland,offender_profiles,18874,Spike Detection,Unreviewed
Maryland,unknown,NA,Laboratory Jump,Unreviewed
Maryland,offender_profiles,-14826,Monotonicity Violation,Unreviewed
Maryland,arrestee,-7110,Monotonicity Violation,Unreviewed
Maryland,total_profiles,-14705,Monotonicity Violation,Unreviewed
Maryland,arrestee,-14,Monotonicity Violation,Unreviewed
Massachusetts,forensic_profiles,-1,Monotonicity Violation,Unreviewed
Massachusetts,offender_profiles,-931,Monotonicity Violation,Unreviewed
Massachusetts,arrestee,-115,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,-1045,Monotonicity Violation,Unreviewed
Massachusetts,offender_profiles,-992,Monotonicity Violation,Unreviewed
Massachusetts,arrestee,-207,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,-945,Monotonicity Violation,Unreviewed
Massachusetts,offender_profiles,-57,Monotonicity Violation,Unreviewed
Massachusetts,offender_profiles,-15536,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,-15360,Monotonicity Violation,Unreviewed
Massachusetts,offender_profiles,-383,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,-204,Monotonicity Violation,Unreviewed
Massachusetts,forensic_profiles,-2,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,-2,Monotonicity Violation,Unreviewed
Massachusetts,offender_profiles,-3336,Monotonicity Violation,Unreviewed
Massachusetts,forensic_profiles,-117,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,-3453,Monotonicity Violation,Unreviewed
Massachusetts,offender_profiles,-14,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,9856,Spike Detection,Unreviewed
Massachusetts,offender_profiles,9534,Spike Detection,Unreviewed
Massachusetts,offender_profiles,-1904,Monotonicity Violation,Unreviewed
Massachusetts,forensic_profiles,-121,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,-2025,Monotonicity Violation,Unreviewed
Massachusetts,offender_profiles,-3723,Monotonicity Violation,Unreviewed
Massachusetts,forensic_profiles,-155,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,-3878,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,1339,Spike Detection,Unreviewed
Massachusetts,offender_profiles,1286,Spike Detection,Unreviewed
Massachusetts,offender_profiles,-2959,Monotonicity Violation,Unreviewed
Massachusetts,forensic_profiles,-322,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,-3281,Monotonicity Violation,Unreviewed
Massachusetts,offender_profiles,2871,Spike Detection,Unreviewed
Massachusetts,offender_profiles,-278,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,-223,Monotonicity Violation,Unreviewed
Massachusetts,offender_profiles,-9196,Monotonicity Violation,Unreviewed
Massachusetts,forensic_profiles,-828,Monotonicity Violation,Unreviewed
Massachusetts,total_profiles,-10024,Monotonicity Violation,Unreviewed
Massachusetts,forensic_profiles,-4830,Monotonicity Violation,Unreviewed
Massachusetts,arrestee,-4832,Monotonicity Violation,Unreviewed
Massachusetts,forensic_profiles,-5951,Monotonicity Violation,Unreviewed
Massachusetts,unknown,NA,Laboratory Jump,Unreviewed
Massachusetts,arrestee,-6381,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-1192,Monotonicity Violation,Unreviewed
Michigan,arrestee,-28,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-1220,Monotonicity Violation,Unreviewed
Michigan,arrestee,-262,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-293,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-41,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-334,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-182586,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-5184,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-187770,Monotonicity Violation,Unreviewed
Michigan,total_profiles,189251,Spike Detection,Unreviewed
Michigan,offender_profiles,183923,Spike Detection,Unreviewed
Michigan,forensic_profiles,5328,Spike Detection,Unreviewed
Michigan,offender_profiles,-183923,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-5328,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-189251,Monotonicity Violation,Unreviewed
Michigan,total_profiles,191665,Spike Detection,Unreviewed
Michigan,offender_profiles,186101,Spike Detection,Unreviewed
Michigan,forensic_profiles,5564,Spike Detection,Unreviewed
Michigan,offender_profiles,-184246,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-5542,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-189788,Monotonicity Violation,Unreviewed
Michigan,total_profiles,192221,Spike Detection,Unreviewed
Michigan,offender_profiles,186636,Spike Detection,Unreviewed
Michigan,forensic_profiles,5585,Spike Detection,Unreviewed
Michigan,offender_profiles,-186460,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-5583,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-192043,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-189324,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-5614,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-194938,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-190711,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-5902,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-196613,Monotonicity Violation,Unreviewed
Michigan,total_profiles,196613,Spike Detection,Unreviewed
Michigan,offender_profiles,190711,Spike Detection,Unreviewed
Michigan,forensic_profiles,5902,Spike Detection,Unreviewed
Michigan,offender_profiles,-190711,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-5902,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-196613,Monotonicity Violation,Unreviewed
Michigan,total_profiles,201991,Spike Detection,Unreviewed
Michigan,offender_profiles,195939,Spike Detection,Unreviewed
Michigan,forensic_profiles,6052,Spike Detection,Unreviewed
Michigan,offender_profiles,-193665,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-6046,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-199711,Monotonicity Violation,Unreviewed
Michigan,total_profiles,202342,Spike Detection,Unreviewed
Michigan,offender_profiles,196148,Spike Detection,Unreviewed
Michigan,forensic_profiles,6194,Spike Detection,Unreviewed
Michigan,offender_profiles,-194819,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-6190,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-201009,Monotonicity Violation,Unreviewed
Michigan,total_profiles,201009,Spike Detection,Unreviewed
Michigan,offender_profiles,194819,Spike Detection,Unreviewed
Michigan,forensic_profiles,6190,Spike Detection,Unreviewed
Michigan,offender_profiles,-194819,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-6190,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-201009,Monotonicity Violation,Unreviewed
Michigan,total_profiles,204205,Spike Detection,Unreviewed
Michigan,offender_profiles,197886,Spike Detection,Unreviewed
Michigan,forensic_profiles,6319,Spike Detection,Unreviewed
Michigan,offender_profiles,-196516,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-6313,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-202829,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-196516,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-6313,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-202829,Monotonicity Violation,Unreviewed
Michigan,total_profiles,202829,Spike Detection,Unreviewed
Michigan,offender_profiles,196516,Spike Detection,Unreviewed
Michigan,forensic_profiles,6313,Spike Detection,Unreviewed
Michigan,offender_profiles,-196516,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-6313,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-202829,Monotonicity Violation,Unreviewed
Michigan,total_profiles,202829,Spike Detection,Unreviewed
Michigan,offender_profiles,196516,Spike Detection,Unreviewed
Michigan,forensic_profiles,6313,Spike Detection,Unreviewed
Michigan,offender_profiles,-196516,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-6313,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-202829,Monotonicity Violation,Unreviewed
Michigan,total_profiles,202829,Spike Detection,Unreviewed
Michigan,offender_profiles,196516,Spike Detection,Unreviewed
Michigan,forensic_profiles,6313,Spike Detection,Unreviewed
Michigan,offender_profiles,-196516,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-6313,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-202829,Monotonicity Violation,Unreviewed
Michigan,total_profiles,221071,Spike Detection,Unreviewed
Michigan,offender_profiles,214416,Spike Detection,Unreviewed
Michigan,offender_profiles,-6183,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-150,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-6333,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-207827,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-6502,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-214329,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-3325,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-61,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-3386,Monotonicity Violation,Unreviewed
Michigan,total_profiles,1530,Spike Detection,Unreviewed
Michigan,offender_profiles,1501,Spike Detection,Unreviewed
Michigan,offender_profiles,-6413,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-288,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-6701,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-23222,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-1213,Monotonicity Violation,Unreviewed
Michigan,total_profiles,-24435,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-9408,Monotonicity Violation,Unreviewed
Michigan,arrestee,-9411,Monotonicity Violation,Unreviewed
Michigan,forensic_profiles,-11638,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,10741,Spike Detection,Unreviewed
Michigan,unknown,NA,Laboratory Jump,Unreviewed
Michigan,offender_profiles,-3084,Monotonicity Violation,Unreviewed
Michigan,arrestee,-4526,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-2,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-77,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-306,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-390,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-143,Monotonicity Violation,Unreviewed
Michigan,offender_profiles,-300,Monotonicity Violation,Unreviewed
Minnesota,arrestee,-895,Monotonicity Violation,Unreviewed
Minnesota,total_profiles,1285,Spike Detection,Unreviewed
Minnesota,offender_profiles,1066,Spike Detection,Unreviewed
Minnesota,offender_profiles,-2891,Monotonicity Violation,Unreviewed
Minnesota,total_profiles,-2767,Monotonicity Violation,Unreviewed
Minnesota,forensic_profiles,-388,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,-1879,Monotonicity Violation,Unreviewed
Minnesota,forensic_profiles,-24,Monotonicity Violation,Unreviewed
Minnesota,total_profiles,-1903,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,-15,Monotonicity Violation,Unreviewed
Minnesota,forensic_profiles,-25,Monotonicity Violation,Unreviewed
Minnesota,total_profiles,-40,Monotonicity Violation,Unreviewed
Minnesota,total_profiles,3887,Spike Detection,Unreviewed
Minnesota,offender_profiles,3550,Spike Detection,Unreviewed
Minnesota,offender_profiles,-992,Monotonicity Violation,Unreviewed
Minnesota,forensic_profiles,-101,Monotonicity Violation,Unreviewed
Minnesota,total_profiles,-1093,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,-2388,Monotonicity Violation,Unreviewed
Minnesota,forensic_profiles,-252,Monotonicity Violation,Unreviewed
Minnesota,total_profiles,-2640,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,568,Spike Detection,Unreviewed
Minnesota,offender_profiles,-3583,Monotonicity Violation,Unreviewed
Minnesota,forensic_profiles,-272,Monotonicity Violation,Unreviewed
Minnesota,total_profiles,-3855,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,602,Spike Detection,Unreviewed
Minnesota,offender_profiles,-9760,Monotonicity Violation,Unreviewed
Minnesota,forensic_profiles,-731,Monotonicity Violation,Unreviewed
Minnesota,total_profiles,-10491,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,-13758,Monotonicity Violation,Unreviewed
Minnesota,forensic_profiles,-976,Monotonicity Violation,Unreviewed
Minnesota,total_profiles,-14734,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,-2,Monotonicity Violation,Unreviewed
Minnesota,forensic_profiles,-6223,Monotonicity Violation,Unreviewed
Minnesota,arrestee,-6225,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,-1,Monotonicity Violation,Unreviewed
Minnesota,forensic_profiles,-7678,Monotonicity Violation,Unreviewed
Minnesota,arrestee,537,Spike Detection,Unreviewed
Minnesota,unknown,NA,Laboratory Jump,Unreviewed
Minnesota,arrestee,-8313,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,-1,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,-1,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,-1,Monotonicity Violation,Unreviewed
Minnesota,offender_profiles,-1,Monotonicity Violation,Unreviewed
Mississippi,forensic_profiles,-1,Monotonicity Violation,Unreviewed
Mississippi,total_profiles,-1,Monotonicity Violation,Unreviewed
Mississippi,offender_profiles,-1,Monotonicity Violation,Unreviewed
Mississippi,offender_profiles,-1,Monotonicity Violation,Unreviewed
Mississippi,total_profiles,10832,Spike Detection,Unreviewed
Mississippi,offender_profiles,10809,Spike Detection,Unreviewed
Mississippi,offender_profiles,-2102,Monotonicity Violation,Unreviewed
Mississippi,forensic_profiles,-9,Monotonicity Violation,Unreviewed
Mississippi,total_profiles,-2111,Monotonicity Violation,Unreviewed
Mississippi,offender_profiles,-6659,Monotonicity Violation,Unreviewed
Mississippi,forensic_profiles,-26,Monotonicity Violation,Unreviewed
Mississippi,total_profiles,-6685,Monotonicity Violation,Unreviewed
Mississippi,offender_profiles,-5052,Monotonicity Violation,Unreviewed
Mississippi,forensic_profiles,-27,Monotonicity Violation,Unreviewed
Mississippi,total_profiles,-5079,Monotonicity Violation,Unreviewed
Mississippi,offender_profiles,-19245,Monotonicity Violation,Unreviewed
Mississippi,forensic_profiles,-114,Monotonicity Violation,Unreviewed
Mississippi,total_profiles,-19359,Monotonicity Violation,Unreviewed
Mississippi,forensic_profiles,-402,Monotonicity Violation,Unreviewed
Mississippi,arrestee,-403,Monotonicity Violation,Unreviewed
Mississippi,forensic_profiles,-497,Monotonicity Violation,Unreviewed
Mississippi,unknown,NA,Laboratory Jump,Unreviewed
Mississippi,arrestee,-554,Monotonicity Violation,Unreviewed
Mississippi,arrestee,-2,Monotonicity Violation,Unreviewed
Mississippi,arrestee,-1,Monotonicity Violation,Unreviewed
Missouri,arrestee,-1358,Monotonicity Violation,Unreviewed
Missouri,forensic_profiles,-487,Monotonicity Violation,Unreviewed
Missouri,total_profiles,-103,Monotonicity Violation,Unreviewed
Missouri,forensic_profiles,-523,Monotonicity Violation,Unreviewed
Missouri,total_profiles,-431,Monotonicity Violation,Unreviewed
Missouri,offender_profiles,-1073,Monotonicity Violation,Unreviewed
Missouri,forensic_profiles,-86,Monotonicity Violation,Unreviewed
Missouri,total_profiles,-1159,Monotonicity Violation,Unreviewed
Missouri,offender_profiles,-1172,Monotonicity Violation,Unreviewed
Missouri,forensic_profiles,-64,Monotonicity Violation,Unreviewed
Missouri,total_profiles,-1236,Monotonicity Violation,Unreviewed
Missouri,total_profiles,9284,Spike Detection,Unreviewed
Missouri,offender_profiles,8513,Spike Detection,Unreviewed
Missouri,forensic_profiles,771,Spike Detection,Unreviewed
Missouri,offender_profiles,-3133,Monotonicity Violation,Unreviewed
Missouri,forensic_profiles,-341,Monotonicity Violation,Unreviewed
Missouri,total_profiles,-3474,Monotonicity Violation,Unreviewed
Missouri,offender_profiles,-3064,Monotonicity Violation,Unreviewed
Missouri,forensic_profiles,-275,Monotonicity Violation,Unreviewed
Missouri,total_profiles,-3339,Monotonicity Violation,Unreviewed
Missouri,total_profiles,1865,Spike Detection,Unreviewed
Missouri,offender_profiles,1710,Spike Detection,Unreviewed
Missouri,offender_profiles,-6334,Monotonicity Violation,Unreviewed
Missouri,forensic_profiles,-557,Monotonicity Violation,Unreviewed
Missouri,total_profiles,-6891,Monotonicity Violation,Unreviewed
Missouri,offender_profiles,-21661,Monotonicity Violation,Unreviewed
Missouri,forensic_profiles,-2281,Monotonicity Violation,Unreviewed
Missouri,total_profiles,-23942,Monotonicity Violation,Unreviewed
Missouri,forensic_profiles,-11068,Monotonicity Violation,Unreviewed
Missouri,arrestee,-11075,Monotonicity Violation,Unreviewed
Missouri,forensic_profiles,-12800,Monotonicity Violation,Unreviewed
Missouri,offender_profiles,19739,Spike Detection,Unreviewed
Missouri,arrestee,609,Spike Detection,Unreviewed
Missouri,unknown,NA,Laboratory Jump,Unreviewed
Missouri,offender_profiles,-8921,Monotonicity Violation,Unreviewed
Missouri,arrestee,-1246,Monotonicity Violation,Unreviewed
Missouri,arrestee,-69,Monotonicity Violation,Unreviewed
Missouri,offender_profiles,-4624,Monotonicity Violation,Unreviewed
Montana,offender_profiles,-1,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-3,Monotonicity Violation,Unreviewed
Montana,total_profiles,-2,Monotonicity Violation,Unreviewed
Montana,offender_profiles,-1,Monotonicity Violation,Unreviewed
Montana,offender_profiles,-1,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-1,Monotonicity Violation,Unreviewed
Montana,total_profiles,-2,Monotonicity Violation,Unreviewed
Montana,offender_profiles,-3,Monotonicity Violation,Unreviewed
Montana,total_profiles,-3,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-9,Monotonicity Violation,Unreviewed
Montana,total_profiles,-9,Monotonicity Violation,Unreviewed
Montana,offender_profiles,-706,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-14,Monotonicity Violation,Unreviewed
Montana,total_profiles,-720,Monotonicity Violation,Unreviewed
Montana,offender_profiles,-1776,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-15,Monotonicity Violation,Unreviewed
Montana,total_profiles,-1791,Monotonicity Violation,Unreviewed
Montana,total_profiles,3667,Spike Detection,Unreviewed
Montana,offender_profiles,3652,Spike Detection,Unreviewed
Montana,offender_profiles,-3652,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-15,Monotonicity Violation,Unreviewed
Montana,total_profiles,-3667,Monotonicity Violation,Unreviewed
Montana,total_profiles,3995,Spike Detection,Unreviewed
Montana,offender_profiles,3968,Spike Detection,Unreviewed
Montana,offender_profiles,-3968,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-27,Monotonicity Violation,Unreviewed
Montana,total_profiles,-3995,Monotonicity Violation,Unreviewed
Montana,offender_profiles,-3967,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-27,Monotonicity Violation,Unreviewed
Montana,total_profiles,-3994,Monotonicity Violation,Unreviewed
Montana,total_profiles,3995,Spike Detection,Unreviewed
Montana,offender_profiles,3967,Spike Detection,Unreviewed
Montana,offender_profiles,-3967,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-28,Monotonicity Violation,Unreviewed
Montana,total_profiles,-3995,Monotonicity Violation,Unreviewed
Montana,offender_profiles,-3967,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-41,Monotonicity Violation,Unreviewed
Montana,total_profiles,-4008,Monotonicity Violation,Unreviewed
Montana,total_profiles,4012,Spike Detection,Unreviewed
Montana,offender_profiles,3967,Spike Detection,Unreviewed
Montana,offender_profiles,-3967,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-45,Monotonicity Violation,Unreviewed
Montana,total_profiles,-4012,Monotonicity Violation,Unreviewed
Montana,offender_profiles,-3967,Monotonicity Violation,Unreviewed
Montana,forensic_profiles,-54,Monotonicity Violation,Unreviewed
Montana,total_profiles,-4021,Monotonicity Violation,Unreviewed
